,Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Unnamed: 9
5529,MAS,Masco Corporation,57.55,14986020000.0,,,Capital Goods,Industrial Specialties,https://old.nasdaq.com/symbol/mas,
2228,MASI,Masimo Corporation,224.94,12360026063.88,,2007.0,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://old.nasdaq.com/symbol/masi,
2233,MAT,"Mattel, Inc.",11.86,4114202654.02,,,Consumer Non-Durables,Recreational Products/Toys,https://old.nasdaq.com/symbol/mat,
2234,MATW,Matthews International Corporation,23.65,739415050.55,,1994.0,Capital Goods,Metal Fabrications,https://old.nasdaq.com/symbol/matw,
5535,MATX,"Matson, Inc.",41.36,1781608594.48,,,Consumer Services,Marine Transportation,https://old.nasdaq.com/symbol/matx,
6000,MAV,Pioneer Municipal High Income Advantage Trust,11.03,263606190.6,,,,,https://old.nasdaq.com/symbol/mav,
2235,MAXN,"Maxeon Solar Technologies, Ltd.",14.1,425551169.4,,,Technology,Semiconductors,https://old.nasdaq.com/symbol/maxn,
5537,MAXR,Maxar Technologies Inc.,27.53,1675837489.14,,,Technology,Radio And Television Broadcasting And Communications Equipment,https://old.nasdaq.com/symbol/maxr,
1977,MAYS,"J. W. Mays, Inc.",18.9419,38182703.182,,,Consumer Services,Building operators,https://old.nasdaq.com/symbol/mays,
1936,MBB,iShares MBS ETF,110.32,0.0,,,,,https://old.nasdaq.com/symbol/mbb,
2296,MBCN,Middlefield Banc Corp.,18.89,120482497.9,,,Finance,Major Banks,https://old.nasdaq.com/symbol/mbcn,
5541,MBI,"MBIA, Inc.",5.91,341312653.38,,1987.0,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/mbi,
2224,MBII,"Marrone Bio Innovations, Inc.",1.21,180742841.29,,2013.0,Basic Industries,Agricultural Chemicals,https://old.nasdaq.com/symbol/mbii,
2259,MBIN,Merchants Bancorp,21.05,605095174.7,,2017.0,Finance,Major Banks,https://old.nasdaq.com/symbol/mbin,
2260,MBINO,Merchants Bancorp,25.0,0.0,,,Finance,Major Banks,https://old.nasdaq.com/symbol/mbino,
2261,MBINP,Merchants Bancorp,25.5,0.0,,,Finance,Major Banks,https://old.nasdaq.com/symbol/mbinp,
2355,MBIO,"Mustang Bio, Inc.",3.6,203665356.0,,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/mbio,
2242,MBNKP,Medallion Bank,18.25,0.0,,2019.0,,,https://old.nasdaq.com/symbol/mbnkp,
2286,MBOT,Microbot Medical Inc. ,7.84,55689558.4,,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/mbot,
2323,MBRX,"Moleculin Biotech, Inc.",0.81,49980474.9,,2016.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/mbrx,
1316,MBSD,FlexShares Trust FlexShares Disciplined Duration MBS Index Fun,24.15,0.0,,,,,https://old.nasdaq.com/symbol/mbsd,
5605,MBT,Mobile TeleSystems OJSC,9.16,8115466651.0,,,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/mbt,
2206,MBUU,"Malibu Boats, Inc.",50.19,1034956195.35,,2014.0,Capital Goods,Marine Transportation,https://old.nasdaq.com/symbol/mbuu,
2257,MBWM,Mercantile Bank Corporation,19.97,324134048.53,,1998.0,Finance,Major Banks,https://old.nasdaq.com/symbol/mbwm,
5608,MC,Moelis & Company,33.91,1873528551.21,,2014.0,Finance,Investment Managers,https://old.nasdaq.com/symbol/mc,
4165,MCA,"Blackrock MuniYield California Insured Fund, Inc.",14.81,509548668.77,,1992.0,,,https://old.nasdaq.com/symbol/mca,
2346,MCAC,Mountain Crest Acquisition Corp.,10.2,0.0,,2020.0,Finance,Business Services,https://old.nasdaq.com/symbol/mcac,
2347,MCACR,Mountain Crest Acquisition Corp.,0.55,0.0,,2020.0,Finance,Business Services,https://old.nasdaq.com/symbol/mcacr,
2348,MCACU,Mountain Crest Acquisition Corp.,10.61,0.0,,2020.0,Finance,Business Services,https://old.nasdaq.com/symbol/mcacu,
5577,MCB,Metropolitan Bank Holding Corp.,31.36,260090714.24,,2017.0,Finance,Major Banks,https://old.nasdaq.com/symbol/mcb,
2187,MCBC,Macatawa Bank Corporation,7.1,242215797.1,,,Finance,Major Banks,https://old.nasdaq.com/symbol/mcbc,
2283,MCBS,"MetroCity Bankshares, Inc.",13.11,336587018.37,,2019.0,Finance,Major Banks,https://old.nasdaq.com/symbol/mcbs,
5553,MCC,Medley Capital Corporation,17.5,47664942.5,,2011.0,,,https://old.nasdaq.com/symbol/mcc,
5544,MCD,McDonald&#39;s Corporation,222.58,165622337566.12,,,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/mcd,
1257,MCEF,First Trust Municipal CEF Income Opportunity ETF,19.2298,0.0,,,,,https://old.nasdaq.com/symbol/mcef,
2295,MCEP,"Mid-Con Energy Partners, LP",2.67,38211763.74,,2011.0,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/mcep,
6963,MCF,Contango Oil & Gas Company,1.29,171620219.7,,,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/mcf,
2229,MCFT,"MasterCraft Boat Holdings, Inc.",17.05,321769628.95,,2015.0,Capital Goods,Marine Transportation,https://old.nasdaq.com/symbol/mcft,
1942,MCHI,iShares MSCI China ETF,74.08,0.0,,,,,https://old.nasdaq.com/symbol/mchi,
2287,MCHP,Microchip Technology Incorporated,103.52,26133780832.8,,1993.0,Technology,Semiconductors,https://old.nasdaq.com/symbol/mchp,
2216,MCHX,"Marchex, Inc.",1.79,79758034.19,,2004.0,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/mchx,
4083,MCI,Barings Corporate Investors,12.99,263199729.81,,,,,https://old.nasdaq.com/symbol/mci,
5546,MCK,McKesson Corporation,151.5,24571748791.5,,,Health Care,Other Pharmaceuticals,https://old.nasdaq.com/symbol/mck,
2265,MCMJ,Merida Merger Corp. I,9.81,160608731.4,,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/mcmj,
2266,MCMJW,Merida Merger Corp. I,0.56,0.0,,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/mcmjw,
5499,MCN,Madison Covered Call & Equity Strategy Fund,5.96,124843667.04,,2004.0,,,https://old.nasdaq.com/symbol/mcn,
5618,MCO,Moody&#39;s Corporation,282.71,53063485554.91,,,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/mco,
5585,MCR,MFS Charter Income Trust,8.35,370030016.2,,1989.0,,,https://old.nasdaq.com/symbol/mcr,
3022,MCRB,"Seres Therapeutics, Inc.",26.86,2398397436.38,,2015.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/mcrb,
2327,MCRI,"Monarch Casino & Resort, Inc.",46.05,837629330.1,,1993.0,Consumer Services,Hotels/Resorts,https://old.nasdaq.com/symbol/mcri,
5522,MCS,Marcus Corporation (The),8.99,279233463.48,,,Consumer Services,Movies/Entertainment,https://old.nasdaq.com/symbol/mcs,
5554,MCV,Medley Capital Corporation,22.1101,0.0,,,,,https://old.nasdaq.com/symbol/mcv,
5555,MCX,Medley Capital Corporation,24.3999,0.0,,2015.0,,,https://old.nasdaq.com/symbol/mcx,
5565,MCY,Mercury General Corporation,43.62,2414702481.42,,,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/mcy,
5559,MD,"Mednax, Inc",18.52,1582751258.12,,,Health Care,Hospital/Nursing Management,https://old.nasdaq.com/symbol/md,
2330,MDB,"MongoDB, Inc.",208.65,12283016224.05,,2017.0,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/mdb,
5490,MDC,"M.D.C. Holdings, Inc.",47.49,3010931916.12,,,Capital Goods,Homebuilding,https://old.nasdaq.com/symbol/mdc,
2238,MDCA,MDC Partners Inc.,2.03,147671355.3,,,Technology,Advertising,https://old.nasdaq.com/symbol/mdca,
2191,MDGL,"Madrigal Pharmaceuticals, Inc.",118.2,1824786256.8,,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/mdgl,
2248,MDGS,Medigus Ltd.,1.29,5203572.33,4033777.0,,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/mdgs,
2249,MDGSW,Medigus Ltd.,0.1725,0.0,,,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/mdgsw,
2245,MDIA,Mediaco Holding Inc.,3.13,22211919.8,,,Consumer Services,Broadcasting,https://old.nasdaq.com/symbol/mdia,
1256,MDIV,First Trust Multi-Asset Diversified Income Index Fund,13.87,0.0,,,,,https://old.nasdaq.com/symbol/mdiv,
2239,MDJH,MDJM LTD,4.01,46679688.2,,2019.0,Finance,Real Estate,https://old.nasdaq.com/symbol/mdjh,
5550,MDLA,"Medallia, Inc.",26.72,3930048782.08,,2019.0,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/mdla,
5556,MDLQ,Medley LLC,5.9,0.0,,2017.0,Finance,Investment Managers,https://old.nasdaq.com/symbol/mdlq,
5557,MDLX,Medley LLC,5.18,0.0,,2016.0,Finance,Investment Managers,https://old.nasdaq.com/symbol/mdlx,
5558,MDLY,Medley Management Inc.,0.6779,22158913.8715,,2014.0,Finance,Investment Managers,https://old.nasdaq.com/symbol/mdly,
2328,MDLZ,"Mondelez International, Inc.",57.21,81715236660.24,,,Consumer Non-Durables,Packaged Foods,https://old.nasdaq.com/symbol/mdlz,
2246,MDNA,Medicenna Therapeutics Corp.,3.6021,175775214.5643,,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/mdna,
5566,MDP,Meredith Corporation,13.44,610488224.64,,,Consumer Services,Newspapers/Magazines,https://old.nasdaq.com/symbol/mdp,
2240,MDRR,"Medalist Diversified REIT, Inc.",1.32,6267317.76,,2018.0,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/mdrr,
2241,MDRRP,"Medalist Diversified REIT, Inc.",12.75,0.0,,,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/mdrrp,
